Datetime (UTC),Norway,Belgium,France,Germany,Netherlands,Ireland,Denmark
2024-07-28 23:00:00,23.3075628,32.6795144,12.535301599999999,64.1358668,62.7777352,71.3314336,47.197182
2024-07-29 00:00:00,23.329827,30.296724,10.7033805,60.939262500000005,59.71626,68.9014305,58.333002
2024-07-29 01:00:00,23.363565,29.0231145,6.2668335,64.34680050000001,61.605588000000004,67.476,42.2652795
2024-07-29 02:00:00,23.515386,29.993082000000005,5.642680500000001,67.476,64.456449,67.39165500000001,43.496716500000005
2024-07-29 03:00:00,23.911807500000002,37.2551865,5.963191500000001,85.441485,81.77247750000001,67.39165500000001,45.8583765
2024-07-29 04:00:00,24.62874,50.4298755,9.480378,113.86575,110.407605,68.82552,68.201367
2024-07-29 05:00:00,26.349377999999998,45.17518200000001,14.844720000000002,102.614127,92.10474,81.81465,85.12940850000001
2024-07-29 06:00:00,27.8928915,43.437675,22.790019,83.046087,76.0707555,98.278794,83.046087
2024-07-29 07:00:00,26.399985,33.0885435,20.175324000000003,53.694027,53.30604,116.3961,53.694027
2024-07-29 08:00:00,23.582862000000002,10.9226775,12.82044,8.923701000000001,10.121400000000001,105.43125,8.923701000000001
2024-07-29 09:00:00,19.3234395,0.101214,4.55463,-0.13495200000000002,-2.9099025000000003,85.82947200000001,-0.13495200000000002
2024-07-29 10:00:00,12.0360315,-0.13495200000000002,0.0,-0.1602555,-0.1939935,80.12775,-0.1602555
2024-07-29 11:00:00,8.856225,-1.2314370000000001,0.0,-1.433865,-2.5303500000000003,77.52992400000001,-1.433865
2024-07-29 12:00:00,9.3707295,-0.50607,0.0,-0.826581,-0.826581,74.4513315,-0.826581
2024-07-29 13:00:00,20.6392215,0.1265175,1.18083,-0.05904150000000001,-0.3289455,73.6753575,-0.05904150000000001
2024-07-29 14:00:00,24.375705,11.808300000000001,12.955392,11.589003,11.302230000000002,74.476635,11.589003
2024-07-29 15:00:00,26.349377999999998,51.6613125,50.2611855,54.385656000000004,54.115752,81.13989000000001,54.385656000000004
2024-07-29 16:00:00,28.862859,67.745904,60.17172300000001,81.7387395,80.718165,107.9616,81.7387395
2024-07-29 17:00:00,42.889432500000005,93.437391,78.997527,103.946778,100.977834,126.5175,102.20927100000002
2024-07-29 18:00:00,31.123305,101.38269000000001,74.1308205,150.1931415,145.24209,125.184849,147.27480450000002
2024-07-29 19:00:00,30.161772,84.80046300000001,69.854529,111.942684,109.732845,126.18012,111.942684
2024-07-29 20:00:00,28.744775999999998,81.6881325,76.58526,90.92391,90.22384650000001,130.73475,90.92391
2024-07-29 21:00:00,26.9988345,76.07919000000001,76.07919000000001,76.07919000000001,76.07919000000001,138.83187,76.07919000000001
2024-07-29 22:00:00,25.8180045,54.942333000000005,49.173135,65.79753450000001,64.372104,116.64913500000002,65.79753450000001
2024-07-29 23:00:00,25.328803500000003,51.290194500000005,44.213649000000004,63.9082065,62.5755555,96.99675,63.9082065
